PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
20838,1,2021,LV,78,T.Johnson,WR,OFF,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,16,8,0,10,0,0,0,0,0,8,156,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6,WR,990670749,0,,,2.6,0,0,0,0,0,3.6,,,25
20839,1,2021,CAR,53,D.Johnson,DE,DEF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,DL,990670183,0,,,0,0,0,0,0,0,0,,,5
20840,1,2021,HOU,53,L.Johnson Jr.,CB,DEF,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,0,0,0,1,6,0,0,0,3,0,0,0,0,0,0,0,62.5,DB,990670814,0,,,0,0,0,0,0,0,0,,,13
20841,1,2021,NYG,81,D.Jones,QB,OFF,11,11,361,232,2428,64.3,6.7,10.5,10,7,84.82,54,22,160,62,298,4.8,2,46,1,1,16,16,0,16,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,166.52,QB,990671607,0,,,174.02,0,0,0,0,0,180.52,,,23
20842,1,2021,DEN,4,D.Jones,DE,DEF,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,9,5.5,37.5,11,2,1,1,0,0,0,0,0,0,0,0,0,67.25,DL,990671550,0,,,0,0,0,0,0,0,0,,,10
20844,1,2021,CAR,65,M.Jordan,G,OFF,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990670184,0,,,0,0,0,0,0,0,0,,,5
20848,1,2021,GB,88,K.Keke,DE,DEF,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,1,2.5,23,4,3,1,0,0,0,0,0,0,0,0,0,0,34.8,DL,990671444,0,,,0,0,0,0,0,0,0,,,12
20849,1,2021,DAL,20,B.Knight,OT,OFF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990667506,0,,,0,0,0,0,0,0,0,,,9
20850,1,2021,BUF,26,D.Knox,TE,OFF,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,71,49,587,12,9,53,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,115.1,TE,990669865,0,,,139.6,0,0,0,0,0,167.1,,,4
20852,1,2021,NYG,61,D.Lawrence,DE,DEF,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,5,2.5,14,11,2,1,0,0,0,0,0,0,0,0,0,0,67.9,DL,990671608,0,,,0,0,0,0,0,0,0,,,23
